"id","name","category","currentPrice","recommendedPrice","delta"
"cmlaqup1e001xmekl7mg1iwcx","Amande","aroma","0.5","1","0.5"
"cmlaquimw000lmekl9duw7kbk","Ananas","aroma","0.5","0.95","0.45"
"cmlaqun66001jmekli4a8a2fo","Banane","aroma","0.5","1","0.5"
"cmlaqur11002bmeklyqf1243u","Bergamote","aroma","0.5","1.25","0.75"
"cmlaqurai002dmekl6uqdqb1a","Cacao","aroma","0.5","1","0.5"
"cmlaqunkg001mmeklehgnn4l5","Cannelle","aroma","0.5","1","0.5"
"cmlaqunz3001pmeklj3fvkpug","Caramel","aroma","0.5","1","0.5"
"cmlaqui3u000hmekldjkfkodk","Cerise","aroma","0.5","1","0.5"
"cmlaquii5000kmeklum8vqzq4","Citron","aroma","0.5","0.9","0.4"
"cmlaquory001vmeklb9340fwo","Citron vert","aroma","0.5","1","0.5"
"cmlaquodh001smeklfm24oll4","Crême patissière","aroma","0.5","1","0.5"
"cmlaquqrj0029meklf6y0ibj8","Figue","aroma","0.5","1","0.5"
"cmlaquqw9002amekl40cylfhp","Fleur d'oranger","aroma","0.5","1.25","0.75"
"cmlaqugig0005meklp4bpq5su","Fraise","aroma","0.5","0.95","0.45"
"cmlaqup65001ymeklq76gpr4i","Fraise des bois","aroma","0.5","1","0.5"
"cmlaquh1r0009meklqxzfv7s3","Framboise","aroma","0.5","1","0.5"
"cmlaqur5s002cmeklxcm5yri1","Fruit de la passion","aroma","0.5","1","0.5"
"cmldqn9rs0019vr649voxoret","Gingembre","aroma","0.5","1","0.5"
"cmlaquh6h000ameklz7r6hbn3","Kiwi","aroma","0.5","1","0.5"
"cmlaquhb9000bmeklo90bngu6","Mangue","aroma","0.5","0.95","0.45"
"cmlaqukru0011mekl38tc260q","Menthe","aroma","0.5","1","0.5"
"cmlaquo3u001qmekltkmk4v4y","Miel","aroma","0.5","1","0.5"
"cmlaqugs80007mekleik5irfk","Myrtille","aroma","0.5","1.15","0.65"
"cmlaquon0001umekluddt3yiv","Noisette","aroma","0.5","1","0.5"
"cmlaquidg000jmekl6rrnni7r","Noix de coco","aroma","0.5","1","0.5"
"cmlaquhz0000gmeklj2r4caic","Pêche","aroma","0.5","0.95","0.45"
"cmlaquqmn0028mekllsbemlbz","Pistache","aroma","0.5","1","0.5"
"cmlaquhg1000cmeklx16txhbw","Poire","aroma","0.5","0.95","0.45"
"cmlaqunp9001nmeklzm2m8bbl","Rose","aroma","0.5","1","0.5"
"cmlaqunax001kmeklxkd8xyjj","Vanille","aroma","0.5","1.25","0.75"
"cmlaquowo001wmekle5vvcpvv","Violette","aroma","0.5","1","0.5"
"cmljhw36t0004ffq26tgk21ko","Maté Vert du Brésil","base","7","8.6","1.6"
"cmlji8ezf0006ffq236ca9qjs","Oolong Fu Liang","base","8","9.4","1.4"
"cmljbf49r0000ffq2rwp0g04f","Pu Erh du Yunnan","base","8","9.5","1.5"
"cml9rbiil000819gzsf8om5z8","Rooibos Africa","base","7","8.8","1.8"
"cmlji3l5l0005ffq2yy3854c6","Thé Blanc Mao Feng","base","8.75","10.4","1.65"
"cmljhmmog0003ffq20klkxurh","Thé Blanc Pai Mu Tan","base","9.5","10.9","1.4"
"cmljc6w770002ffq22k500n8e","Thé Noir d'Assam","base","6.25","7.9","1.65"
"cmljbzui50001ffq2gg3gbzbj","Thé Noir du Monte Mentilile","base","6.75","8.7","1.95"
"cml9rbek0000219gzggv522hk","Thé Noir Rukeri","base","7","8.4","1.4"
"cmlh40p480009vqvklp0jat0j","Thé Vert au riz grillé - Genmaicha","base","8","9.7","1.7"
"cmlh3mye20008vqvkriah0sbf","Thé Vert du Kérala","base","7.5","8.9","1.4"
"cmljicmr30007ffq2tb421jvo","Thé Vert Fleurs de Jasmin","base","8.75","10.2","1.45"
"cml9rbdht000119gzkzfmopdh","Thé Vert Sencha - Lu Yu","base","6.5","8.2","1.7"
"cmlaqujko000smekljt1w5t51","Bleuet","flower","0.5","1.1","0.6"
"cmlaqujb7000qmekl1i8h7nzp","Calendula","flower","0.5","1.1","0.6"
"cml9rbjua000a19gz5cagbzhd","Camomille","flower","0.5","1.1","0.6"
"cmlaqujfy000rmeklzkxpu1m7","Fleur de Sureau","flower","0.5","1.25","0.75"
