"id","basePrice"
"cmlaqup1e001xmekl7mg1iwcx","1"
"cmlaquimw000lmekl9duw7kbk","0.95"
"cmlaqun66001jmekli4a8a2fo","1"
"cmlaqur11002bmeklyqf1243u","1.25"
"cmlaqurai002dmekl6uqdqb1a","1"
"cmlaqunkg001mmeklehgnn4l5","1"
"cmlaqunz3001pmeklj3fvkpug","1"
"cmlaqui3u000hmekldjkfkodk","1"
"cmlaquii5000kmeklum8vqzq4","0.9"
"cmlaquory001vmeklb9340fwo","1"
"cmlaquodh001smeklfm24oll4","1"
"cmlaquqrj0029meklf6y0ibj8","1"
"cmlaquqw9002amekl40cylfhp","1.25"
"cmlaqugig0005meklp4bpq5su","0.95"
"cmlaqup65001ymeklq76gpr4i","1"
"cmlaquh1r0009meklqxzfv7s3","1"
"cmlaqur5s002cmeklxcm5yri1","1"
"cmldqn9rs0019vr649voxoret","1"
"cmlaquh6h000ameklz7r6hbn3","1"
"cmlaquhb9000bmeklo90bngu6","0.95"
"cmlaqukru0011mekl38tc260q","1"
"cmlaquo3u001qmekltkmk4v4y","1"
"cmlaqugs80007mekleik5irfk","1.15"
"cmlaquon0001umekluddt3yiv","1"
"cmlaquidg000jmekl6rrnni7r","1"
"cmlaquhz0000gmeklj2r4caic","0.95"
"cmlaquqmn0028mekllsbemlbz","1"
"cmlaquhg1000cmeklx16txhbw","0.95"
"cmlaqunp9001nmeklzm2m8bbl","1"
"cmlaqunax001kmeklxkd8xyjj","1.25"
"cmlaquowo001wmekle5vvcpvv","1"
"cmljhw36t0004ffq26tgk21ko","8.6"
"cmlji8ezf0006ffq236ca9qjs","9.4"
"cmljbf49r0000ffq2rwp0g04f","9.5"
"cml9rbiil000819gzsf8om5z8","8.8"
"cmlji3l5l0005ffq2yy3854c6","10.4"
"cmljhmmog0003ffq20klkxurh","10.9"
"cmljc6w770002ffq22k500n8e","7.9"
"cmljbzui50001ffq2gg3gbzbj","8.7"
"cml9rbek0000219gzggv522hk","8.4"
"cmlh40p480009vqvklp0jat0j","9.7"
"cmlh3mye20008vqvkriah0sbf","8.9"
"cmljicmr30007ffq2tb421jvo","10.2"
"cml9rbdht000119gzkzfmopdh","8.2"
"cmlaqujko000smekljt1w5t51","1.1"
"cmlaqujb7000qmekl1i8h7nzp","1.1"
"cml9rbjua000a19gz5cagbzhd","1.1"
"cmlaqujfy000rmeklzkxpu1m7","1.25"
"cml9rbj6k000919gzvgeo563v","1.1"
"cml9rbh78000619gzdk6sbor1","1.1"
"cmlaquj1c000omeklowp99bh0","1.35"
"cmlkrkne20007hidq7hr2k043","1"
"cmlaqug460002mekl8yd1mj8d","1.2"
"cmlaqugdq0004mekl3vnzun5k","1.3"
"cmlaqug8x0003mekl5mx1ek0h","1.2"
"cmlkrtwq10008hidqkdt260dx","1.05"
"cmlkrvs420009hidqtumf2j6y","0.95"
"cmlaqufun0001mekljn2u6k6x","1.05"
"cmlkrh2h40006hidqrs2pzgml","1"
"cmlkrx8vo000ahidq570ufazp","1.05"
"cmlaqugwz0008mekli6dnifxc","1.2"
"cmlkry9yf000bhidqc4xaipub","1.05"
"cmlkrz5mw000chidqhw5wstxq","1"
"cmlks0535000dhidqsm7u302f","1.2"
"cmlks0r17000ehidq2lyz3n56","1.05"
"cmlaquhks000dmeklsdjs06ay","0.95"
"cmlaqugng0006mekli4t8qsew","1.05"
"cmlks45l4000fhidqlawuqeuy","1"
"cmlks4k28000ghidq0zd1zcip","1"
"cmlaquhpi000emekljpw4ds21","0.95"
"cmlaquhu7000fmekl98z7o3ly","1.05"
"cmlaqui8p000imeklnl3rcgpv","0.95"
"cmlaqukn30010meklkhxgurnx","0.95"
"cmlaqujpf000tmekl392b3out","1.05"
"cmlaquk3x000wmeklhb4a2yfr","1.2"
"cmlaqum3z001bmeklobq1nebp","1.05"
"cmlaqum8u001cmeklhgxukgy0","1.2"
"cmlaqul1d0013meklyhitn4vq","1.05"
"cmll15wsh000ihidq0fmgsmgp","0.95"
"cmlaqulz9001ameklkeahxhv9","1.05"
"cmlaqukd9000ymekljwk6gcf1","1.05"
"cmlaqujuc000umeklo13ihfj3","1.05"
"cmlaqumrv001gmeklzmx8p06h","1.3"
"cmlaqulat0015meklw4fb7k46","1.05"
"cmlaqukwn0012meklwb2sscut","1.05"
"cmlaqulp70018meklpmdr72mc","1.05"
"cmlaqulfl0016mekl2mzvavkg","1.05"
"cmlaqumdk001dmeklmtddxhtk","1.3"
"cmlaqul600014meklakr721ks","1.05"
"cmlaqulkf0017meklci9qqdoz","1.3"
"cmlaquk8l000xmeklwa4vz6d3","1.05"
"cmlaqumn4001fmeklro20e9tu","1.05"
"cmlaqumwn001hmekleba7hk80","1.2"
"cmlaqumib001emekl3arsw3eg","1.05"
"cmll0g94y000hhidqcf1gj9jd","1.05"
"cmlaquki1000zmeklitiu9jrh","1.3"
"cmlaqun1e001imekl182ppvlk","1.05"
"cmlaqujz4000vmeklphjollnw","1.05"
