"id","basePrice"
"cmlaqup1e001xmekl7mg1iwcx","0.8"
"cmlaquimw000lmekl9duw7kbk","0.75"
"cmlaqun66001jmekli4a8a2fo","0.75"
"cmlaqur11002bmeklyqf1243u","0.95"
"cmlaqurai002dmekl6uqdqb1a","0.9"
"cmlaqunkg001mmeklehgnn4l5","0.85"
"cmlaqunz3001pmeklj3fvkpug","0.8"
"cmlaqui3u000hmekldjkfkodk","0.8"
"cmlaquii5000kmeklum8vqzq4","0.75"
"cmlaquory001vmeklb9340fwo","0.8"
"cmlaquodh001smeklfm24oll4","0.85"
"cmlaquqrj0029meklf6y0ibj8","0.8"
"cmlaquqw9002amekl40cylfhp","0.95"
"cmlaqugig0005meklp4bpq5su","0.8"
"cmlaqup65001ymeklq76gpr4i","0.85"
"cmlaquh1r0009meklqxzfv7s3","0.8"
"cmlaqur5s002cmeklxcm5yri1","0.85"
"cmldqn9rs0019vr649voxoret","0.85"
"cmlaquh6h000ameklz7r6hbn3","0.8"
"cmlaquhb9000bmeklo90bngu6","0.8"
"cmlaqukru0011mekl38tc260q","0.8"
"cmlaquo3u001qmekltkmk4v4y","0.8"
"cmlaqugs80007mekleik5irfk","0.85"
"cmlaquon0001umekluddt3yiv","0.9"
"cmlaquidg000jmekl6rrnni7r","0.8"
"cmlaquhz0000gmeklj2r4caic","0.8"
"cmlaquqmn0028mekllsbemlbz","0.95"
"cmlaquhg1000cmeklx16txhbw","0.8"
"cmlaqunp9001nmeklzm2m8bbl","0.9"
"cmlaqunax001kmeklxkd8xyjj","1.1"
"cmlaquowo001wmekle5vvcpvv","0.9"
"cmljhw36t0004ffq26tgk21ko","7.5"
"cmlji8ezf0006ffq236ca9qjs","8.4"
"cmljbf49r0000ffq2rwp0g04f","8.4"
"cml9rbiil000819gzsf8om5z8","7.6"
"cmlji3l5l0005ffq2yy3854c6","9.4"
"cmljhmmog0003ffq20klkxurh","9.9"
"cmljc6w770002ffq22k500n8e","6.9"
"cmljbzui50001ffq2gg3gbzbj","7.6"
"cml9rbek0000219gzggv522hk","7.4"
"cmlh40p480009vqvklp0jat0j","8.5"
"cmlh3mye20008vqvkriah0sbf","7.9"
"cmljicmr30007ffq2tb421jvo","9.2"
"cml9rbdht000119gzkzfmopdh","7.2"
"cmlaqujko000smekljt1w5t51","0.85"
"cmlaqujb7000qmekl1i8h7nzp","0.8"
"cml9rbjua000a19gz5cagbzhd","0.9"
"cmlaqujfy000rmeklzkxpu1m7","0.95"
"cml9rbj6k000919gzvgeo563v","0.85"
"cml9rbh78000619gzdk6sbor1","0.9"
"cmlaquj1c000omeklowp99bh0","1.05"
"cmlkrkne20007hidq7hr2k043","0.85"
"cmlaqug460002mekl8yd1mj8d","1"
"cmlaqugdq0004mekl3vnzun5k","1.1"
"cmlaqug8x0003mekl5mx1ek0h","1"
"cmlkrtwq10008hidqkdt260dx","0.9"
"cmlkrvs420009hidqtumf2j6y","0.8"
"cmlaqufun0001mekljn2u6k6x","0.95"
"cmlkrh2h40006hidqrs2pzgml","0.9"
"cmlkrx8vo000ahidq570ufazp","0.95"
"cmlaqugwz0008mekli6dnifxc","1"
"cmlkry9yf000bhidqc4xaipub","0.9"
"cmlkrz5mw000chidqhw5wstxq","0.9"
"cmlks0535000dhidqsm7u302f","1"
"cmlks0r17000ehidq2lyz3n56","0.85"
"cmlaquhks000dmeklsdjs06ay","0.8"
"cmlaqugng0006mekli4t8qsew","0.9"
"cmlks45l4000fhidqlawuqeuy","0.9"
"cmlks4k28000ghidq0zd1zcip","0.85"
"cmlaquhpi000emekljpw4ds21","0.8"
"cmlaquhu7000fmekl98z7o3ly","0.9"
"cmlaqui8p000imeklnl3rcgpv","0.8"
"cmlaqukn30010meklkhxgurnx","0.8"
"cmlaqujpf000tmekl392b3out","0.95"
"cmlaquk3x000wmeklhb4a2yfr","0.85"
"cmlaqum3z001bmeklobq1nebp","0.8"
"cmlaqum8u001cmeklhgxukgy0","1.05"
"cmlaqul1d0013meklyhitn4vq","0.85"
"cmll15wsh000ihidq0fmgsmgp","0.8"
"cmlaqulz9001ameklkeahxhv9","0.85"
"cmlaqukd9000ymekljwk6gcf1","0.95"
"cmlaqujuc000umeklo13ihfj3","0.85"
"cmlaqumrv001gmeklzmx8p06h","1"
"cmlaqulat0015meklw4fb7k46","0.9"
"cmlaqukwn0012meklwb2sscut","0.9"
"cmlaqulp70018meklpmdr72mc","0.85"
"cmlaqulfl0016mekl2mzvavkg","0.85"
"cmlaqumdk001dmeklmtddxhtk","1.1"
"cmlaqul600014meklakr721ks","0.9"
"cmlaqulkf0017meklci9qqdoz","1"
"cmlaquk8l000xmeklwa4vz6d3","0.9"
"cmlaqumn4001fmeklro20e9tu","0.8"
"cmlaqumwn001hmekleba7hk80","1.05"
"cmlaqumib001emekl3arsw3eg","0.75"
"cmll0g94y000hhidqcf1gj9jd","0.95"
"cmlaquki1000zmeklitiu9jrh","1.15"
"cmlaqun1e001imekl182ppvlk","0.95"
"cmlaqujz4000vmeklphjollnw","0.95"
